image,rel_path,integer_label,full_reading,full_digits,raw_text,digits_text,prediction,confidence,time_ms,has_decimal,background,n_digits,group,split,is_correct,error_class,decimal_prefix_match_len,matches_full_digits
00831.jpg,images/test/00831.jpg,02798,02798.99,0279899,02798,02798,02798,0.945808,65.897,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00893.jpg,images/test/00893.jpg,2385,2385.803,2385803,2385,2385,2385,0.943984,69.266,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00942.jpg,images/test/00942.jpg,8223,8223.011,8223011,8223,8223,8223,0.93354,49.561,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00949.jpg,images/test/00949.jpg,13498,13498,13498,13498,13498,13498,0.934855,57.374,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01106.jpg,images/test/01106.jpg,6870,6870,6870,687,687,687,0.635267,76.685,False,bgwhite,4,bgwhite_4d_nodec,test,False,ocr_error,0,False
01142.jpg,images/test/01142.jpg,11252,11252,11252,11252,11252,11252,0.895459,86.294,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01157.jpg,images/test/01157.jpg,03834,03834,03834,03834,03834,03834,0.933722,70.301,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01163.jpg,images/test/01163.jpg,07281,07281,07281,07281,07281,07281,0.957624,82.664,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01193.jpg,images/test/01193.jpg,05506,05506,05506,05506,05506,05506,0.876326,90.707,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01224.jpg,images/test/01224.jpg,00354,00354.52,0035452,00354,00354,00354,0.923765,84.37,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
01229.jpg,images/test/01229.jpg,2565,2565.432,2565432,2565,2565,2565,0.908884,85.131,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
01231.jpg,images/test/01231.jpg,01724,01724.34,0172434,01724,01724,01724,0.784602,74.87,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
01241.jpg,images/test/01241.jpg,02752,02752,02752,02752,02752,02752,0.978535,67.131,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
01244.jpg,images/test/01244.jpg,3718,3718.230,3718230,3718,3718,3718,0.843475,49.707,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
01289.jpg,images/test/01289.jpg,12088,12088,12088,2088,2088,2088,0.958755,72.652,False,bgwhite,5,bgwhite_5d_nodec,test,False,ocr_error,0,False
01435.jpg,images/test/01435.jpg,00173,00173.21,0017321,00173,00173,00173,0.823174,98.104,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
01778.jpg,images/test/01778.jpg,00713,00713.62,0071362,007132,007132,007132,0.865673,130.486,True,bgwhite,5,bgwhite_5d_dec,test,False,ocr_error,0,False
01918.jpg,images/test/01918.jpg,2999,2999.238,2999238,2999,2999,2999,0.956046,70.536,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
01925.jpg,images/test/01925.jpg,0179,0179.33,017933,0179,0179,0179,0.970949,69.194,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02011.jpg,images/test/02011.jpg,6077,6077.173,6077173,6077,6077,6077,0.892734,141.571,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02128.jpg,images/test/02128.jpg,2643,2643.397,2643397,2643,2643,2643,0.868022,78.468,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02291.jpg,images/test/02291.jpg,3482,3482.477,3482477,3482,3482,3482,0.893902,111.865,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02302.jpg,images/test/02302.jpg,00349,00349.99,0034999,00349,00349,00349,0.865749,96.616,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02311.jpg,images/test/02311.jpg,1595,1595.137,1595137,1595,1595,1595,0.910697,91.835,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02316.jpg,images/test/02316.jpg,1420,1420.049,1420049,1420,1420,1420,0.905895,127.45,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02323.jpg,images/test/02323.jpg,01352,01352.55,0135255,01352,01352,01352,0.952075,76.65,True,bgblack,5,bgblack_5d_dec,test,True,correct,0,False
02387.jpg,images/test/02387.jpg,4983,4983.980,4983980,4983,4983,4983,0.775496,113.259,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02421.jpg,images/test/02421.jpg,0284,0284.35,028435,0284,0284,0284,0.878655,94.027,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02526.jpg,images/test/02526.jpg,4651,4651.724,4651724,4651,4651,4651,0.865994,78.953,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02542.jpg,images/test/02542.jpg,1747,1747.214,1747214,1747,1747,1747,0.931561,82.56,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02548.jpg,images/test/02548.jpg,5236,5236.225,5236225,5236,5236,5236,0.900081,100.009,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02553.jpg,images/test/02553.jpg,7886,7886.834,7886834,7886,7886,7886,0.849054,47.91,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02578.jpg,images/test/02578.jpg,04116,04116,04116,04116,04116,04116,0.757943,99.728,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02588.jpg,images/test/02588.jpg,6719,6719.163,6719163,6719,6719,6719,0.870544,40.039,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02603.jpg,images/test/02603.jpg,1193,1193.995,1193995,1193,1193,1193,0.936573,66.159,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02610.jpg,images/test/02610.jpg,07259,07259,07259,07259,07259,07259,0.844494,72.783,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02631.jpg,images/test/02631.jpg,1174,1174.095,1174095,1748,1748,1748,0.792021,69.326,True,bgwhite,4,bgwhite_4d_dec,test,False,ocr_error,0,False
02639.jpg,images/test/02639.jpg,00700,00700.28,0070028,00700,00700,00700,0.74286,74.954,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02643.jpg,images/test/02643.jpg,3459,3459.213,3459213,3459,3459,3459,0.825135,84.736,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02655.jpg,images/test/02655.jpg,00039,00039.53,0003953,00039,00039,00039,0.800317,93.601,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02669.jpg,images/test/02669.jpg,0066,0066.576,0066576,0066,0066,0066,0.761366,77.706,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02672.jpg,images/test/02672.jpg,6821,6821,6821,6821,6821,6821,0.813715,81.735,False,bgwhite,4,bgwhite_4d_nodec,test,True,correct,0,True
02686.jpg,images/test/02686.jpg,17032,17032,17032,17032,17032,17032,0.879795,68.906,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02690.jpg,images/test/02690.jpg,00368,00368.26,0036826,00368,00368,00368,0.891835,164.317,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02694.jpg,images/test/02694.jpg,0030,0030.84,003084,030,030,030,0.916976,70.335,True,bgwhite,4,bgwhite_4d_dec,test,False,ocr_error,0,False
02733.jpg,images/test/02733.jpg,00678,00678.85,0067885,00678,00678,00678,0.892061,64.73,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02739.jpg,images/test/02739.jpg,03816,03816,03816,03816,03816,03816,0.980141,71.1,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02741.jpg,images/test/02741.jpg,10548,10548,10548,10548,10548,10548,0.912392,67.058,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02742.jpg,images/test/02742.jpg,08159,08159,08159,08159,08159,08159,0.899259,80.652,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02752.jpg,images/test/02752.jpg,1596,1596.477,1596477,1596,1596,1596,0.938319,70.979,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02770.jpg,images/test/02770.jpg,0135,0135.98,013598,0135,0135,0135,0.974423,81.963,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02784.jpg,images/test/02784.jpg,5572,5572.363,5572363,5572,5572,5572,0.90657,59.48,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02799.jpg,images/test/02799.jpg,4203,4203.332,4203332,42032,42032,42032,0.84037,84.762,True,bgwhite,4,bgwhite_4d_dec,test,False,ocr_error,0,False
02801.jpg,images/test/02801.jpg,07301,07301,07301,07301,07301,07301,0.784846,79.588,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02818.jpg,images/test/02818.jpg,9486,9486,9486,9486,9486,9486,0.805262,85.07,False,bgwhite,4,bgwhite_4d_nodec,test,True,correct,0,True
02845.jpg,images/test/02845.jpg,0000,0000.45,000045,0000,0000,0000,0.665944,113.323,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02846.jpg,images/test/02846.jpg,07125,07125,07125,07125,07125,07125,0.974055,69.608,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
02859.jpg,images/test/02859.jpg,4356,4356.210,4356210,4356,4356,4356,0.771807,88.587,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02869.jpg,images/test/02869.jpg,00433,00433.21,0043321,00433,00433,00433,0.825004,74.692,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
02924.jpg,images/test/02924.jpg,1661,1661.7,16617,1661,1661,1661,0.880518,66.958,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02930.jpg,images/test/02930.jpg,6469,6469.804,6469804,6469,6469,6469,0.893049,81.321,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02965.jpg,images/test/02965.jpg,0076,0076.726,0076726,0076,0076,0076,0.829005,83.277,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
02967.jpg,images/test/02967.jpg,6467,6467,6467,6467,6467,6467,0.837039,51.839,False,bgwhite,4,bgwhite_4d_nodec,test,True,correct,0,True
02973.jpg,images/test/02973.jpg,06251,06251,06251,06251,06251,06251,0.918684,76.458,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03008.jpg,images/test/03008.jpg,3046,3046.541,3046541,3046,3046,3046,0.927387,76.615,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
03011.jpg,images/test/03011.jpg,3370,3370.542,3370542,3370,3370,3370,0.939776,48.693,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
03018.jpg,images/test/03018.jpg,2460,2460.677,2460677,2460,2460,2460,0.935285,82.465,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
03031.jpg,images/test/03031.jpg,13969,13969,13969,13969,13969,13969,0.888769,57.994,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03055.jpg,images/test/03055.jpg,00033,00033.69,0003369,0033,0033,0033,0.912998,69.548,True,bgwhite,5,bgwhite_5d_dec,test,False,ocr_error,0,False
03061.jpg,images/test/03061.jpg,0381,0381.788,0381788,0381,0381,0381,0.861271,73.239,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
03063.jpg,images/test/03063.jpg,05062,05062,05062,05062,05062,05062,0.891706,68.712,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03076.jpg,images/test/03076.jpg,00534,00534.61,0053461,00534,00534,00534,0.893006,139.177,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
03094.jpg,images/test/03094.jpg,3197,3197.06,319706,3197,3197,3197,0.954876,67.437,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
03103.jpg,images/test/03103.jpg,09547,09547,09547,09547,09547,09547,0.957085,79.926,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03137.jpg,images/test/03137.jpg,05037,05037,05037,05037,05037,05037,0.893731,75.413,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03161.jpg,images/test/03161.jpg,08598,08598,08598,08598,08598,08598,0.957752,49.753,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
03176.jpg,images/test/03176.jpg,2626,2626.034,2626034,2626,2626,2626,0.827609,86.717,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
